,age,duree_paiement,taux,duree_rente,type_prime,produit
321,54,12,0.029553167747184517,3,MENSUEL,NSIA-ETUDES
322,55,12,0.030287072734948375,3,MENSUEL,NSIA-ETUDES
323,56,12,0.031120124425923504,3,MENSUEL,NSIA-ETUDES
324,57,12,0.0320669795521112,3,MENSUEL,NSIA-ETUDES
325,58,12,0.03311393665422468,3,MENSUEL,NSIA-ETUDES
326,59,12,0.03426102657218104,3,MENSUEL,NSIA-ETUDES
327,60,12,0.03548976803632511,3,MENSUEL,NSIA-ETUDES
328,20,13,0.019755978215443747,3,MENSUEL,NSIA-ETUDES
329,21,13,0.01979141327765448,3,MENSUEL,NSIA-ETUDES
330,22,13,0.01982599027768945,3,MENSUEL,NSIA-ETUDES
331,23,13,0.01986397494363675,3,MENSUEL,NSIA-ETUDES
332,24,13,0.019907450844848445,3,MENSUEL,NSIA-ETUDES
333,25,13,0.019956923007189088,3,MENSUEL,NSIA-ETUDES
334,26,13,0.020013781633749037,3,MENSUEL,NSIA-ETUDES
335,27,13,0.02007782293299729,3,MENSUEL,NSIA-ETUDES
336,28,13,0.020150745746976898,3,MENSUEL,NSIA-ETUDES
337,29,13,0.0202353150039369,3,MENSUEL,NSIA-ETUDES
338,30,13,0.020333629111824028,3,MENSUEL,NSIA-ETUDES
339,31,13,0.02044956622995468,3,MENSUEL,NSIA-ETUDES
340,32,13,0.020587433972566405,3,MENSUEL,NSIA-ETUDES
341,33,13,0.020746804832205007,3,MENSUEL,NSIA-ETUDES
342,34,13,0.020927199721098053,3,MENSUEL,NSIA-ETUDES
343,35,13,0.021126146370939958,3,MENSUEL,NSIA-ETUDES
344,36,13,0.02134671629213092,3,MENSUEL,NSIA-ETUDES
345,37,13,0.021587838829305605,3,MENSUEL,NSIA-ETUDES
346,38,13,0.021850895653029015,3,MENSUEL,NSIA-ETUDES
347,39,13,0.0221347310474532,3,MENSUEL,NSIA-ETUDES
348,40,13,0.022436957721270422,3,MENSUEL,NSIA-ETUDES
349,41,13,0.022754732008730873,3,MENSUEL,NSIA-ETUDES
350,42,13,0.02308187973451428,3,MENSUEL,NSIA-ETUDES
351,43,13,0.023418895693412278,3,MENSUEL,NSIA-ETUDES
352,44,13,0.023763080065563956,3,MENSUEL,NSIA-ETUDES
353,45,13,0.024114057255083747,3,MENSUEL,NSIA-ETUDES
354,46,13,0.024472271604047496,3,MENSUEL,NSIA-ETUDES
355,47,13,0.02484321815982354,3,MENSUEL,NSIA-ETUDES
356,48,13,0.025235657917516217,3,MENSUEL,NSIA-ETUDES
357,49,13,0.02565912958516012,3,MENSUEL,NSIA-ETUDES
358,50,13,0.026123620592989512,3,MENSUEL,NSIA-ETUDES
359,51,13,0.02663978246463773,3,MENSUEL,NSIA-ETUDES
360,52,13,0.02721476474017702,3,MENSUEL,NSIA-ETUDES
361,53,13,0.027858529592168092,3,MENSUEL,NSIA-ETUDES
362,54,13,0.028582752232671493,3,MENSUEL,NSIA-ETUDES
363,55,13,0.029397525266234004,3,MENSUEL,NSIA-ETUDES
364,56,13,0.030316095134350518,3,MENSUEL,NSIA-ETUDES
365,57,13,0.03135339270771711,3,MENSUEL,NSIA-ETUDES
366,58,13,0.03249622122912521,3,MENSUEL,NSIA-ETUDES
367,59,13,0.03374524568306575,3,MENSUEL,NSIA-ETUDES
368,60,13,0.0350826303275239,3,MENSUEL,NSIA-ETUDES
369,20,14,0.018242912608763203,3,MENSUEL,NSIA-ETUDES
370,21,14,0.018281630630010377,3,MENSUEL,NSIA-ETUDES
371,22,14,0.01832021347534016,3,MENSUEL,NSIA-ETUDES
372,23,14,0.018362921993123962,3,MENSUEL,NSIA-ETUDES
373,24,14,0.0184119061839974,3,MENSUEL,NSIA-ETUDES
374,25,14,0.018467715800275813,3,MENSUEL,NSIA-ETUDES
375,26,14,0.018531877250115694,3,MENSUEL,NSIA-ETUDES
376,27,14,0.018604368273558367,3,MENSUEL,NSIA-ETUDES
377,28,14,0.01868711241184438,3,MENSUEL,NSIA-ETUDES
378,29,14,0.018783000660044,3,MENSUEL,NSIA-ETUDES
379,30,14,0.018894095664841192,3,MENSUEL,NSIA-ETUDES
380,31,14,0.019024267924788098,3,MENSUEL,NSIA-ETUDES
381,32,14,0.019177745155495477,3,MENSUEL,NSIA-ETUDES
382,33,14,0.019353987605022344,3,MENSUEL,NSIA-ETUDES
383,34,14,0.019552264255324917,3,MENSUEL,NSIA-ETUDES
384,35,14,0.01976985671822163,3,MENSUEL,NSIA-ETUDES
385,36,14,0.020009610473424,3,MENSUEL,NSIA-ETUDES
